Origen,Descripción,Tipo,Semántica
Corpus,certificaciones bancarias,Servicio,Servicio
Corpus,cuentas,Producto,Producto
Corpus,tarjetas débito,Producto,Producto;Ahorro;Débito
Corpus,tarjetas crédito,Producto,Crédito
Corpus,créditos,Producto,Crédito
Corpus,leasing,Producto,Producto
Corpus,seguros y asistencias,Servicio,Seguro
Corpus,inversiones,Servicio,Servicio
Corpus,giros,Servicio,Servicio
Corpus,servicios de pago,Servicio,Pago
Corpus,compra y venta de dólares,Servicio,Moneda;Compra;Venta;Tasa de Cambio
Corpus,venta de usados,Servicio,Compra;Venta
Corpus,renta de vehículos,Servicio,Renta
Corpus,sucursal virtual personas,Servicio,Servicio
Corpus,bancolombia app,Servicio,Servicio
Corpus,corresponsal bancario,Servicio,Servicio
Corpus,sucursal telefónica,Servicio,Servicio
Corpus,multipagos pse,Servicio,Pago
Corpus,sucursal física,Servicio,Servicio
Corpus,cajero automático,Servicio,Retiro;Consulta
Corpus,cajero multifuncional,Servicio,Retiro;Consignación;Pago;Consulta
Corpus,soluciones de financiación,Servicio,Servicio
Corpus,pagar y recaudar,Servicio,Pago
Corpus,inversión de liquidez,Servicio,Servicio
Corpus,cobertura de riesgos,Servicio,Servicio
Corpus,estructuración de negocios,Servicio,Servicio
Corpus,administración de liquidez,Servicio,Servicio
Corpus,gestión de tesorería,Servicio,Servicio
Corpus,tarjetas de crédito,Producto,Crédito
Corpus,cuentas de depósito,Producto,Producto;Ahorro;Depósito
Corpus,seguros,Servicio,Seguro
Corpus,banca de inversión,Servicio,Servicio
Corpus,factoring,Servicio,Servicio
Corpus,renting,Servicio,Servicio
Corpus,operaciones en moneda extranjera,Servicio,Servicio;Moneda;Compra;Venta;Tasa de Cambio
Corpus,sucursal virtual empresas,Servicio,Servicio
Corpus,fiduciaria bancolombia,Servicio,Servcio
Corpus,leasing bancolombia,Servicio,Servcio
Corpus,renting colombia,Servicio,Servcio
Corpus,valores bancolombia,Servicio,Servcio
Corpus,factoring bancolombia,Servicio,Servcio
Corpus,sufi,Servicio,Servcio
Corpus,tuya,Servicio,Servcio
Corpus,cuenta ahorrador,Servicio,Servicio;Ahorro
Corpus,fondos de inversión,Producto,Producto;Inversión
Corpus,certificados de depósito a término,Servicio,Servicio;CDT
Corpus,inversión virtual,Servicio,Servicio
Corpus,crédito corto plazo,Producto,Crédito
Corpus,crédito largo plazo pregrado,Producto,Crédito
Corpus,crédito largo plazo posgrado,Producto,Crédito
Corpus,cuentas de ahorros ,Servicio,Servicio;Ahorro
Corpus,tarjeta e–prepago,Producto,Producto
